,theta_1,theta_2,theta_3,theta_4,theta_5,p_x,p_y,p_z,Roll,Pich,Yaw
0,0,0,0,0,0,54.0,0.0,10.0,3.141592653589793,-1.5707963267948966,0.0
1,0,0,12,0,0,53.213313626417,0.0,2.51517913056066,3.141592653589793,-1.3613568165555774,0.0
2,0,0,12,12,0,53.6066568132085,0.0,6.25758956528033,3.141592653589793,-1.5707963267948966,0.0
3,0,0,24,24,0,52.4438182375668,0.0,2.67874042463559,3.141592653589793,-1.5707963267948966,0.0
4,0,12,0,0,0,52.8199704396255,0.0,21.227231304159,0.0,-1.5707963267948966,3.141592653589793
5,0,12,12,0,0,53.6066568132085,0.0,13.7424104347197,3.141592653589793,-1.5707963267948966,0.0
6,0,12,12,12,0,53.213313626417,0.0,17.4848208694393,0.0,-1.5707963267948966,3.141592653589793
7,0,12,24,0,0,52.8199704396255,0.0,6.25758956528033,3.141592653589793,-1.3613568165555774,0.0
8,0,12,24,12,0,53.213313626417,0.0,10.0,3.141592653589793,-1.5707963267948966,0.0
9,0,12,24,24,0,52.8199704396255,0.0,13.7424104347197,0.0,-1.5707963267948966,3.141592653589793
10,0,12,36,12,0,51.6571318639838,0.0,2.6787404246356,3.141592653589793,-1.3613568165555774,0.0
11,0,12,36,24,0,52.0504750507753,0.0,6.42115085935527,3.141592653589793,-1.5707963267948966,0.0
12,0,12,48,36,0,50.1689627119576,0.0,3.16227589345515,3.141592653589793,-1.5707963267948966,0.0
13,0,12,48,48,0,49.7756195251661,0.0,6.90468632817482,0.0,-1.5707963267948966,3.141592653589793
14,0,12,60,48,0,47.651007727668,0.0,0.365803576126575,0.0,-1.5707963267948966,3.141592653589793
15,0,12,60,60,0,47.2576645408765,0.0,4.10821401084624,0.0,-1.5707963267948966,3.141592653589793
16,0,24,0,0,0,49.3314547127004,0.0,31.9637787260932,0.0,-1.5707963267948966,3.141592653589793
17,0,24,0,108,0,20.8432855606742,0.0,38.0191260093219,0.0,1.5707963267948966,3.141592653589793
18,0,24,12,0,0,51.6571318639838,0.0,24.8060804448037,0.0,-1.5707963267948966,3.141592653589793
19,0,24,12,12,0,50.4942932883421,0.0,28.3849295854485,0.0,-1.5707963267948966,3.141592653589793
20,0,24,24,0,0,52.4438182375668,0.0,17.3212595753644,3.141592653589793,-1.5707963267948966,0.0
21,0,24,24,12,0,52.0504750507753,0.0,21.0636700100841,0.0,-1.5707963267948966,3.141592653589793
22,0,24,24,24,0,50.8876364751336,0.0,24.6425191507288,0.0,-1.5707963267948966,3.141592653589793
23,0,24,36,0,0,51.6571318639838,0.0,9.83643870592507,3.141592653589793,-1.3613568165555774,0.0
24,0,24,36,12,0,52.0504750507753,0.0,13.5788491406447,3.141592653589793,-1.5707963267948966,0.0
25,0,24,36,24,0,51.6571318639838,0.0,17.3212595753644,0.0,-1.5707963267948966,3.141592653589793
26,0,24,48,0,0,49.3314547127004,0.0,2.6787404246356,3.141592653589793,-1.1519173063162578,0.0
27,0,24,48,12,0,50.4942932883421,0.0,6.25758956528033,3.141592653589793,-1.3613568165555774,0.0
28,0,24,48,24,0,50.8876364751336,0.0,10.0,3.141592653589793,-1.5707963267948966,0.0
29,0,24,48,36,0,50.4942932883421,0.0,13.7424104347197,0.0,-1.5707963267948966,3.141592653589793
