theta_1,theta_2,theta_3,theta_4,theta_5,p_x,p_y,p_z,roll,pich,yaw
0,0,5,0,0,53.8630091313028,-1.67855112670206e-15,6.86239326108431,3.1415926535897927,-1.4835298641951802,6.945419249351086e-16
0,0,10,0,0,53.4530791084395,-2.25053361800353e-15,3.74866560399051,3.1415926535897927,-1.3962634015954636,3.365515851979999e-16
0,0,10,5,0,53.6580441198712,-2.15666537484261e-15,5.30552943253741,3.1415926535897927,-1.4835298641951802,6.998888483331751e-16
0,5,5,0,0,53.9315045656514,-1.39036662296734e-15,11.5688033694578,2.360014309157236,-1.5707963267948966,0.781578344432557
0,5,10,0,0,53.7945136969543,-1.96381128632480e-15,8.43119663054215,3.1415926535897927,-1.4835298641951802,6.785418480565292e-16
0,5,10,5,0,53.8630091313028,-1.86921195713588e-15,10.0000000000000,2.356194490192345,-1.5707963267948966,0.7853981633974483
0,10,0,0,0,53.1796186626592,-5.28006369847160e-16,19.3770015940142,2.9139065200293787e-16,-1.4631356429419464,3.1415926535897927
0,10,0,5,0,52.8397439816427,-4.34132562680120e-16,20.9100772078549,1.7535125431836637e-16,-1.1071487177940904,3.141592653589793
0,10,0,10,0,52.3675462825858,-3.42429799918050e-16,22.4076969758715,1.1779904504226597e-16,-1.1071487177940906,3.141592653589793
0,10,5,0,0,53.5895486855226,-1.10291320526061e-15,16.2632739369204,6.253298931962622e-16,-1.463951866542162,3.1415926535897927
0,10,5,5,0,53.3845836740909,-1.00758279004370e-15,17.8201377654673,2.833600547164695e-16,-1.4623101281629298,3.1415926535897927
0,10,10,0,0,53.7265395542197,-1.67635786861808e-15,13.1256671980047,2.3716198785092755,-1.5707963267948966,0.7699727750805174
0,10,10,5,0,53.6580441198712,-1.58175853942916e-15,14.6944705674626,6.199829697981957e-16,-1.4631356429419464,3.1415926535897927
10,0,5,0,0,53.0447089930744,9.35321337930796,6.86239326108431,3.1415926535897927,-1.4835298641951802,0.17453292519943364
10,0,10,0,0,52.6410067283661,9.28202977786678,3.74866560399051,3.1415926535897927,-1.3962634015954636,0.17453292519943328
10,0,10,5,0,52.8428578607202,9.31762157858737,5.30552943253741,3.1415926535897927,-1.4835298641951802,0.17453292519943364
10,5,5,0,0,53.1121638278668,9.36510748666110,11.5688033694578,2.360014309157236,-1.5707963267948966,0.95611126963199
10,5,10,0,0,52.9772541582820,9.34131927195483,8.43119663054215,3.1415926535897927,-1.4835298641951802,0.17453292519943361
10,5,10,5,0,53.0447089930744,9.35321337930796,10.0000000000000,2.356194490192345,-1.5707963267948966,0.9599310885968813
10,10,0,0,0,52.3717007612195,9.23454386979305,19.3770015940142,2.9139065200293787e-16,-1.3962634015954636,-2.967059728390361
10,10,0,5,0,52.0369895403019,9.17552525079941,20.9100772078549,1.7535125431836637e-16,-1.3089969389957474,-2.9670597283903604
10,10,0,10,0,51.5719655853162,9.09352898085966,22.4076969758715,1.1779904504226597e-16,-1.221730476396031,-2.9670597283903604
10,10,5,0,0,52.7754030259278,9.30572747123424,16.2632739369204,6.253298931962622e-16,-1.4835298641951804,-2.967059728390361
10,10,5,5,0,52.5735518935737,9.27013567051365,17.8201377654673,2.833600547164695e-16,-1.3962634015954636,-2.967059728390361
10,10,10,0,0,52.9103126955127,9.32951568594051,13.1256671980047,2.3716198785092755,-1.5707963267948966,0.9445057002799504
10,10,10,5,0,52.8428578607202,9.31762157858737,14.6944705674626,6.199829697981957e-16,-1.4835298641951804,-2.967059728390361
